iter	MAPE	RMSE	R2	MAE
0	1.57228892	1506704.041	0.1255265408	940137.2735
1	1.447614917	1411913.616	0.232095912	867002.4019
2	1.336415583	1327719.764	0.320947165	805837.7822
3	1.232880229	1248604.865	0.3994616146	748157.7058
4	1.141622654	1176497.736	0.4668211443	695591.4656
5	1.063182951	1115692.771	0.5205095463	654172.7181
6	0.9918677949	1057545.634	0.5691868414	613474.1233
7	0.9218637125	1011792.094	0.6056577684	578216.2748
8	0.8592857157	968857.4059	0.6384149605	544946.3596
9	0.8151994433	929109.4342	0.6674748741	520803.724
10	0.763288399	888934.1831	0.6956103085	494226.2276
11	0.7162961824	855291.0492	0.7182145394	471559.7096
12	0.6754137984	826573.0413	0.7368198077	452955.1849
13	0.6332483533	798018.2678	0.7546893559	433142.0847
14	0.6023841062	773334.2561	0.7696303707	416683.5194
15	0.5742487375	753584.0601	0.7812469414	402101.5712
16	0.5472345964	736025.1256	0.7913223166	388519.439
17	0.5209639	721971.6355	0.7992151235	377484.503
18	0.4985954873	706216.8666	0.8078825127	368264.6159
19	0.4783116639	693269.1511	0.8148624647	360210.6626
20	0.4569319939	679524.9017	0.8221305019	348770.1378
21	0.4373398667	666860.244	0.8286988097	340378.9964
22	0.4224633642	656888.4594	0.8337835546	332882.5042
23	0.4076305186	645019.5978	0.8397357901	325233.8332
24	0.3969160717	632858.0465	0.8457222347	318993.6624
25	0.3835653759	623217.4031	0.850386814	312842.7135
26	0.3727763224	616943.8655	0.8533837771	308445.016
27	0.3639512334	611983.749	0.8557318355	305308.6874
28	0.3559677618	606554.3089	0.8582803369	302275.2204
29	0.3469052691	601044.2688	0.8608434518	299241.7253
30	0.3399465548	596643.7792	0.862873636	296006.0734
31	0.3310922234	591651.308	0.8651588696	293099.7556
32	0.3248568971	586955.5629	0.8672907567	290105.5009
33	0.3181703663	584235.4708	0.8685179193	287765.3516
34	0.3120307367	579812.6455	0.8705010961	285983.2079
35	0.3066739904	575485.5135	0.8724267798	284150.0295
36	0.3034550182	572614.1974	0.8736966266	282592.5459
37	0.2971949415	570405.7748	0.8746689858	281050.9975
38	0.2949603146	566753.2251	0.8762689419	279771.5626
39	0.2921802418	564963.2418	0.8770492701	278707.3698
40	0.2892624844	563374.9215	0.8777396182	277633.9873
41	0.2879938585	560838.0313	0.8788382217	276810.2052
42	0.285646071	559234.7078	0.8795299859	275708.8099
43	0.2813009242	556174.2127	0.880844958	274687.0596
44	0.2781662121	553015.2749	0.8821946589	273270.0332
45	0.2764666782	549762.6191	0.8835763689	271809.4139
46	0.2737632725	548208.4603	0.8842336891	271116.7412
47	0.2717665881	545919.9127	0.8851982263	270588.8261
48	0.2700764326	544823.8393	0.8856587512	269690.353
49	0.2663557169	542770.2454	0.8865190952	268816.9371
50	0.2658319933	540413.0313	0.8875026344	267996.7977
51	0.2644481733	538353.9338	0.8883582827	266420.0049
52	0.2632073669	537549.0655	0.888691854	266054.2086
53	0.2618518326	536367.9638	0.8891804487	265261.1536
54	0.2610476651	533425.639	0.8903929475	263708.715
55	0.2608321127	530954.7137	0.8914060356	262935.1421
56	0.2591379825	527855.6944	0.8926699952	261223.6794
57	0.2582137857	527518.562	0.8928070511	260971.7961
58	0.2565683491	524635.2457	0.8939756413	259702.8122
59	0.2557263581	522390.2385	0.8948810939	258726.066
60	0.2546825208	520850.0786	0.895500023	258071.6002
61	0.2543586385	518864.3321	0.8962953186	257523.4287
62	0.2524026759	516764.9967	0.8971328034	255783.9068
63	0.2519927574	515689.62	0.8975604867	255449.0782
64	0.2518204349	514788.4982	0.8979181818	254948.4654
65	0.2501570003	513859.6961	0.8982862098	254507.0621
66	0.2496727557	512816.1157	0.8986989245	254146.1837
67	0.2485957088	511384.661	0.8992636708	253436.9112
68	0.2470329257	509964.2348	0.8998225058	252264.0051
69	0.2460387557	508815.9686	0.9002731292	251795.8142
70	0.245526156	508423.1846	0.9004270395	251536.2903
71	0.2454990317	508193.2494	0.9005170832	251373.3138
72	0.245202993	508032.4826	0.900580016	251271.4263
73	0.2443373813	506282.5403	0.9012637502	250523.2301
74	0.2443214961	506144.3478	0.901317644	250458.4645
75	0.2434670365	504569.1407	0.9019309207	249863.2357
76	0.2428431083	502977.0555	0.9025488261	248896.6657
77	0.2416727664	501920.0855	0.902957969	248655.9567
78	0.240859735	501218.9118	0.9032289117	248101.7007
79	0.2391565583	500048.5328	0.9036803177	247014.9476
