iter	Passed	Remaining
0	193	965643
1	228	570774
2	258	430273
3	286	357945
4	311	311499
5	346	288745
6	379	270731
7	410	256419
8	442	245169
9	491	245107
10	525	238208
11	572	237913
12	604	231961
13	639	227795
14	688	228779
15	739	230359
16	785	230112
17	839	232431
18	869	227835
19	924	230224
20	972	230545
21	1055	238896
22	1089	235821
23	1128	233877
24	1162	231432
25	1198	229255
26	1230	226610
27	1265	224746
28	1301	223093
29	1338	221764
30	1381	221504
31	1425	221376
32	1465	220616
33	1520	222012
34	1569	222592
35	1602	221031
36	1639	219850
37	1673	218566
38	1710	217549
39	1757	217905
40	1789	216497
41	1826	215616
42	1874	216080
43	1927	217152
44	1989	219119
45	2027	218327
46	2064	217578
47	2127	219506
48	2173	219611
49	2227	220527
50	2273	220584
51	2311	219987
52	2353	219717
53	2385	218531
54	2424	217993
55	2458	217017
56	2501	216885
57	2535	216044
58	2569	215174
59	2627	216320
60	2658	215262
61	2711	215920
62	2757	216085
63	2790	215187
64	2826	214624
65	2875	214949
66	2911	214380
67	2954	214320
68	2990	213691
69	3042	214308
70	3090	214559
71	3126	213991
72	3171	214054
73	3212	213867
74	3258	213977
75	3311	214537
76	3359	214771
77	3412	215349
78	3459	215481
79	3491	214748
80	3527	214236
81	3562	213640
82	3611	213966
83	3658	214128
84	3712	214693
85	3746	214101
86	3787	213904
87	3821	213296
88	3874	213800
89	3912	213423
90	3958	213546
91	4011	214014
92	4058	214155
93	4113	214694
94	4173	215488
95	4204	214791
96	4245	214583
97	4290	214630
98	4327	214242
99	4373	214324
100	4413	214061
101	4447	213563
102	4493	213626
103	4528	213192
104	4558	212501
105	4612	212949
106	4648	212549
107	4712	213464
108	4745	212948
109	4790	212944
110	4829	212700
111	4874	212736
112	4928	213166
113	4964	212778
114	5012	212925
115	5059	213013
116	5099	212818
117	5143	212804
118	5190	212918
119	5244	213291
120	5289	213290
121	5327	213015
122	5375	213153
123	5412	212840
124	5458	212864
125	5493	212488
126	5528	212125
127	5560	211662
128	5593	211206
129	5630	210920
130	5674	210913
131	5718	210894
132	5754	210577
133	5791	210323
134	5822	209826
135	5859	209575
136	5902	209506
137	5938	209208
138	6006	210060
139	6042	209774
140	6091	209913
141	6128	209676
142	6160	209252
143	6197	208993
144	6230	208623
145	6300	209467
146	6334	209126
147	6382	209237
148	6415	208869
149	6450	208579
150	6483	208194
151	6517	207872
152	6549	207471
153	6588	207323
154	6627	207154
155	6660	206801
156	6711	207018
157	6743	206647
158	6775	206285
159	6808	205946
160	6844	205719
161	6885	205626
162	6919	205341
163	6956	205127
164	6991	204860
165	7048	205251
166	7106	205652
167	7158	205891
168	7191	205585
169	7233	205527
170	7264	205161
171	7309	205183
172	7344	204910
173	7382	204760
174	7426	204765
175	7471	204788
176	7528	205130
177	7564	204929
178	7606	204863
179	7635	204470
180	7689	204720
181	7720	204389
182	7753	204095
183	7789	203874
184	7827	203736
185	7874	203806
186	7925	203991
187	7961	203779
188	8005	203768
189	8043	203621
190	8089	203680
191	8142	203896
192	8183	203830
193	8222	203704
194	8267	203731
195	8299	203432
196	8342	203386
197	8390	203481
198	8427	203317
199	8474	203389
200	8503	203029
201	8542	202903
202	8579	202729
203	8617	202597
204	8656	202486
205	8712	202764
206	8755	202718
207	8793	202589
208	8829	202401
209	8864	202193
210	8912	202275
211	8958	202325
212	9011	202535
213	9059	202601
214	9111	202785
215	9152	202711
216	9184	202445
217	9222	202300
218	9275	202488
219	9330	202729
220	9374	202710
221	9422	202787
222	9459	202630
223	9511	202801
224	9559	202870
225	9597	202742
226	9635	202610
227	9670	202398
228	9730	202728
229	9775	202745
230	9812	202587
231	9858	202613
232	9913	202828
233	9960	202863
234	10013	203031
235	10061	203114
236	10114	203271
237	10164	203366
238	10212	203446
239	10246	203216
240	10286	203119
241	10330	203109
242	10364	202896
243	10411	202936
244	10466	203132
245	10514	203195
246	10560	203209
247	10592	202973
248	10628	202804
249	10671	202754
250	10730	203016
251	10775	203024
252	10823	203085
253	10861	202955
254	10892	202684
255	10944	202823
256	10991	202855
257	11031	202754
258	11069	202620
259	11112	202597
260	11172	202865
261	11222	202953
262	11259	202792
263	11301	202737
264	11343	202687
265	11385	202628
266	11422	202488
267	11455	202275
268	11490	202081
269	11523	201877
270	11577	202036
271	11616	201917
272	11655	201811
273	11700	201810
274	11743	201771
275	11792	201836
276	11823	201597
277	11859	201443
278	11914	201605
279	11959	201604
280	12009	201676
281	12057	201730
282	12117	201980
283	12163	201978
284	12209	201988
285	12277	202356
286	12326	202427
287	12374	202465
288	12414	202363
289	12480	202695
290	12546	203030
291	12594	203059
292	12630	202914
293	12666	202745
294	12716	202813
295	12764	202847
296	12818	202975
297	12856	202854
298	12906	202925
299	12936	202669
300	12970	202489
301	13014	202449
302	13063	202506
303	13131	202851
304	13172	202765
305	13220	202804
306	13265	202779
307	13316	202853
308	13363	202872
309	13417	202989
310	13461	202957
311	13517	203105
312	13576	203299
313	13627	203378
314	13665	203245
315	13700	203080
316	13747	203088
317	13829	203614
318	13873	203582
319	13931	203752
320	13965	203561
321	14018	203654
322	14061	203602
323	14095	203426
324	14141	203421
325	14174	203219
326	14226	203303
327	14317	203941
328	14365	203959
329	14418	204039
330	14460	203981
331	14535	204379
332	14579	204338
333	14662	204839
334	14695	204634
335	14737	204576
336	14776	204460
337	14811	204293
338	14863	204356
339	14910	204364
340	14947	204226
341	14994	204218
342	15032	204094
343	15078	204084
344	15132	204182
345	15180	204187
346	15234	204278
347	15285	204337
348	15334	204362
349	15378	204319
350	15412	204134
351	15443	203929
352	15517	204274
353	15566	204296
354	15606	204209
355	15649	204150
356	15689	204047
357	15723	203873
358	15757	203707
359	15810	203777
360	15850	203686
361	15888	203564
362	15939	203608
363	15985	203598
364	16025	203497
365	16057	203306
366	16094	203175
367	16146	203229
368	16194	203246
369	16230	203095
370	16294	203301
371	16333	203199
372	16380	203198
373	16436	203308
374	16485	203319
375	16515	203107
376	16564	203118
377	16616	203179
378	16664	203177
379	16702	203061
380	16736	202903
381	16770	202742
382	16816	202724
383	16863	202717
384	16919	202813
385	16954	202657
386	17010	202762
387	17048	202643
388	17089	202568
389	17123	202410
390	17160	202285
